MS SubClass,MS Zoning,Lot Area,Neighborhood,Overall Qual,Year Built,Gr Liv Area,Bsmt Full Bath,Full Bath,Bedroom AbvGr,Garage Cars,Garage Area,SalePrice
20,RL,10500,NAmes,4,1971,864,0,1,2,2,576,97000
20,RL,9000,NAmes,4,1971,864,0,1,3,2,576,130000
160,RM,1680,BrDale,6,1973,987,1,1,2,1,264,111000
160,RM,2368,BrDale,5,1970,1365,0,1,3,2,440,125000
160,RM,1680,BrDale,5,1971,1302,0,2,3,1,280,112000
160,RM,1680,BrDale,6,1972,987,1,1,2,1,288,97000
160,RM,1680,BrDale,6,1972,987,0,1,2,1,264,118000
160,RM,1680,BrDale,5,1972,1302,0,2,3,1,264,119500
120,RL,4928,NPkVill,6,1976,958,0,2,2,2,440,143750
160,RL,2308,NPkVill,6,1976,1548,0,2,3,2,440,146000
160,RL,2280,NPkVill,6,1976,1456,0,2,3,2,440,148500
120,RL,2280,NPkVill,7,1975,1055,0,2,2,2,440,123000
160,RL,2308,NPkVill,6,1974,1322,0,2,3,2,440,147000
160,RL,2349,NPkVill,6,1977,1456,0,2,3,2,440,137900
160,RL,2364,NPkVill,6,1978,1548,0,2,3,2,440,147000
160,RL,2289,NPkVill,6,1978,1441,0,2,3,2,440,148500
160,RL,2364,NPkVill,6,1978,1456,0,2,3,2,440,138000
120,RL,2104,NPkVill,7,1976,836,0,1,2,1,345,128500
20,RL,7150,NAmes,5,1967,892,0,1,3,1,288,100000
20,RL,10710,NAmes,5,1966,1120,0,1,3,2,656,148800
20,RL,12456,NridgHt,10,2006,1718,1,2,3,3,786,337500
60,RL,14257,NridgHt,9,2007,2772,1,3,4,3,754,462000
60,RL,13518,NridgHt,9,2008,3140,0,3,4,3,820,485000
20,RL,15431,NridgHt,10,2008,2402,1,2,2,3,672,555000
20,RL,13173,NridgHt,9,2006,1652,1,2,2,2,840,325000
20,RL,14230,NridgHt,8,2007,1600,0,2,3,3,890,256300
20,RL,12704,NridgHt,8,2008,2042,0,2,3,3,1390,253293
60,RL,12350,NridgHt,9,2009,2690,1,2,3,3,864,398800
60,RL,11308,NridgHt,9,2008,2184,1,2,3,3,836,335000
20,RL,12350,NridgHt,9,2008,2020,1,2,3,3,896,404000
20,RL,12220,NridgHt,10,2009,2020,1,2,3,3,900,402861
60,RL,13478,NridgHt,10,2008,2296,1,2,3,3,842,451950
20,RL,13693,NridgHt,10,2007,2674,2,2,2,3,762,610000
60,RL,13891,NridgHt,9,2008,2822,0,3,4,3,1020,582933
20,RL,11578,NridgHt,9,2008,1736,0,2,3,3,834,360000
20,RL,16870,NridgHt,8,2004,1782,1,2,3,3,932,296000
60,RL,23303,NridgHt,8,2007,2520,1,2,5,3,640,409900
20,RL,11146,NridgHt,8,2006,1717,0,2,3,3,908,255500
20,RL,10367,NridgHt,9,2008,1743,1,2,3,3,927,335000
20,RL,9591,NridgHt,8,2004,1713,1,2,3,3,856,274900
20,RL,10872,NridgHt,9,2006,1531,1,2,2,3,700,300000
20,RL,13514,NridgHt,9,2008,1808,1,2,3,3,850,324000
60,RL,8834,NridgHt,9,2004,2224,1,2,4,3,738,350000
20,RL,11362,NridgHt,8,2004,1836,1,2,3,3,862,280000
20,RL,10655,NridgHt,8,2003,1629,1,2,3,3,880,284000
20,RL,12878,NridgHt,7,2003,1760,1,2,3,2,583,269500
20,RL,9541,NridgHt,7,2009,1502,0,2,3,2,644,233170
20,RL,13472,NridgHt,10,2003,2392,0,2,3,3,968,386250
20,RL,15274,NridgHt,9,2003,2452,2,2,3,3,886,445000
60,RL,13262,NridgHt,8,2003,2400,0,3,4,3,730,290000
20,RL,9658,NridgHt,8,2006,1606,0,2,3,3,871,255900
120,RL,6904,NridgHt,6,2005,1358,0,2,2,2,484,213000
120,RL,5381,NridgHt,6,2005,1306,1,2,1,2,624,196000
120,RL,5122,NridgHt,6,2005,1306,1,2,1,2,624,184500
120,RL,10307,NridgHt,7,2007,1358,1,2,2,2,484,212500
120,RL,5001,NridgHt,7,2007,1314,1,2,2,2,626,230000
20,RL,14836,NridgHt,10,2004,2492,1,2,2,3,949,552000
20,RL,15262,NridgHt,8,2003,2200,1,2,3,3,685,382500
120,RL,7390,NridgHt,9,2008,1884,1,2,2,2,649,320000
120,RL,6472,NridgHt,9,2008,1456,0,2,2,2,539,248500
20,RL,16770,NridgHt,8,2002,1712,1,2,3,3,701,286500
120,RL,6240,NridgHt,8,2006,1324,1,2,2,2,550,254000
120,RL,3480,NridgHt,7,2003,1405,0,2,2,2,478,173000
160,RL,2268,NridgHt,7,2003,1626,0,2,2,2,474,173000
60,RL,10928,Gilbert,7,2005,1456,0,2,3,2,390,184000
60,RL,8918,Gilbert,6,2005,1490,0,2,3,2,392,167800
60,RL,12589,Gilbert,6,2005,1484,0,2,3,2,390,174000
60,RL,11911,Gilbert,6,2005,1560,0,2,3,2,400,174000
120,RL,3684,Blmngtn,7,2007,1555,0,2,2,3,660,174000
120,RL,3635,Blmngtn,7,2007,1569,0,2,1,3,660,175900
120,RL,3182,Blmngtn,7,2005,1555,0,2,2,2,430,192500
120,RL,3182,Blmngtn,7,2005,1504,0,2,1,2,457,181000
120,RL,3182,Blmngtn,7,2005,1220,0,2,2,2,397,180000
120,RL,3182,Blmngtn,7,2005,1145,0,2,2,2,397,160200
60,RL,7795,Gilbert,7,2004,1432,1,2,3,2,432,188500
60,RL,8068,Gilbert,6,2002,2267,0,2,4,2,390,200000
80,RL,9434,Gilbert,7,2004,1374,0,2,3,2,400,170000
60,RL,7984,Gilbert,7,2004,1630,0,2,3,2,436,189500
80,RL,7750,Gilbert,8,2002,1419,1,2,3,2,527,184100
60,RL,10125,Gilbert,7,2004,1594,0,2,3,2,434,195500
60,RL,8965,Gilbert,7,2003,1489,1,2,3,2,400,192000
60,RL,8174,Gilbert,7,2003,1342,1,2,3,2,393,178000
120,RL,5063,NridgHt,7,2007,1314,1,2,2,2,626,207500
60,RL,8795,Gilbert,7,2000,2256,0,2,4,2,554,236000
60,RL,12891,Gilbert,8,2002,2004,1,2,4,3,644,257500
60,RL,12224,Gilbert,6,2000,2054,1,2,3,2,390,244000
80,RL,9734,Gilbert,7,2004,1374,0,2,3,2,400,167000
60,RL,8123,Gilbert,6,2000,1800,0,2,3,2,463,179000
60,RL,8433,Gilbert,6,2000,1514,1,2,3,2,394,190000
80,RL,7750,Gilbert,7,1999,1430,0,2,3,2,400,156000
60,RL,15896,Gilbert,7,1999,2312,1,2,4,3,658,245000
60,RL,24682,Gilbert,6,1999,1675,0,2,3,2,502,181000
60,RL,8755,Gilbert,7,1999,2060,1,2,3,2,390,214000
80,RL,7848,Gilbert,7,1999,1430,0,2,3,2,410,168000
60,RL,9430,NoRidge,8,1999,2365,1,2,3,3,856,337000
60,RL,15138,NoRidge,8,1995,2794,1,2,4,3,810,403000
60,RL,12720,NoRidge,8,2000,2687,1,2,4,3,810,327000
60,RL,16545,NoRidge,8,1998,2450,1,2,3,3,1069,340000
60,RL,12203,NoRidge,8,1998,2612,1,2,4,3,676,336000
60,RL,10208,NoRidge,7,1996,2344,0,2,3,3,889,265000
20,RL,10750,NoRidge,8,1994,2063,1,2,3,3,815,315000
60,RL,9900,NoRidge,7,1993,2646,1,2,4,3,656,260000
60,RL,9085,NoRidge,7,1995,2061,1,2,3,2,647,260000
60,RL,11692,NoRidge,8,1993,2232,1,2,3,2,623,263550
60,RL,46589,NoRidge,8,1994,2448,1,2,4,3,711,402000
60,RL,29959,NoRidge,7,1994,1850,0,2,3,2,467,248000
20,RL,9612,Somerst,8,2008,1468,0,2,3,3,898,244600
20,RL,11194,Somerst,8,2008,1696,0,2,3,3,972,275000
20,RL,10206,Somerst,8,2008,1658,0,2,3,3,726,257500
20,RL,9262,Somerst,8,2008,1578,0,2,3,3,840,287090
20,RL,10130,Somerst,8,2007,1702,1,2,3,3,844,275500
20,RL,9139,Somerst,8,2006,1432,0,2,3,2,492,245000
60,RL,9675,Somerst,7,2005,1971,0,2,3,2,689,253000
20,RL,11128,Somerst,9,2005,2490,1,2,2,3,795,468000
60,FV,8640,Somerst,7,2009,1852,1,2,3,2,644,252678
60,FV,9000,Somerst,8,2008,1590,0,2,3,2,676,210000
20,FV,7862,Somerst,6,2009,1218,0,2,2,2,676,208300
20,FV,7993,Somerst,7,2008,1436,0,2,3,2,529,225000
20,FV,8640,Somerst,8,2009,1314,1,2,3,2,552,229456
20,FV,8640,Somerst,7,2008,1402,0,2,3,2,625,229800
20,FV,12606,Somerst,9,2007,1530,0,2,3,3,984,250000
20,FV,9187,Somerst,9,2009,1766,1,2,2,3,478,370878
20,FV,7500,Somerst,8,2006,1448,0,2,2,2,692,238500
60,FV,11003,Somerst,10,2008,2007,1,2,3,3,812,310000
60,FV,10603,Somerst,8,2006,1795,1,2,3,3,782,270000
60,FV,10574,Somerst,8,2005,1953,0,2,3,3,1043,252000
60,FV,8125,Somerst,7,2006,1550,1,2,2,2,438,241000
20,FV,8125,Somerst,8,2008,1836,0,2,3,2,517,264500
20,FV,10625,Somerst,7,2006,1662,1,2,3,3,711,291000
60,FV,9375,Somerst,7,2003,2094,0,2,4,2,615,263000
20,FV,7500,Somerst,7,2004,1221,1,2,2,2,400,185000
20,FV,8736,Somerst,7,2003,1553,1,2,3,2,588,234500
60,FV,8127,Somerst,7,2003,1653,1,2,3,2,628,209000
20,RL,9605,SawyerW,7,2007,1218,0,1,3,2,576,159000
20,RL,7500,SawyerW,7,2006,1141,1,1,3,2,484,152000
20,RL,7500,SawyerW,6,2004,1158,0,1,3,0,0,143500
60,RL,10628,SawyerW,7,2004,1812,0,2,3,2,478,193000
20,RL,10141,SawyerW,8,2004,1512,0,2,3,3,845,203000
20,RL,10083,SawyerW,7,2003,1200,1,2,2,2,555,184900
20,RL,13072,SawyerW,7,2004,1114,0,1,3,2,576,159000
20,RL,13072,SawyerW,5,2004,1114,0,1,3,0,0,142000
20,RL,12450,SawyerW,5,2003,1114,1,2,3,2,576,153000
20,RL,7328,SawyerW,7,2008,1450,0,2,2,3,788,224243
60,RL,11492,SawyerW,7,1996,2122,1,2,4,2,559,220000
20,RL,10994,SawyerW,8,2005,1844,1,2,2,2,620,257000
20,RL,8529,SawyerW,7,2001,1434,0,2,3,2,527,189000
60,RL,7703,SawyerW,6,1992,1730,0,2,3,2,528,171500
160,RL,10762,SawyerW,6,1980,1217,0,1,3,1,288,120000
120,RL,7175,SawyerW,6,1990,1332,0,2,2,2,542,145000
60,RL,9109,SawyerW,7,1994,1540,1,2,3,2,495,184000
60,RL,10274,SawyerW,6,1986,1400,0,2,3,2,465,162000
90,RL,8250,SawyerW,6,1981,1882,0,2,4,2,612,160000
20,RH,8400,SawyerW,4,1950,841,0,1,2,1,294,82000
45,RH,9000,SawyerW,6,1928,784,0,1,2,2,360,76000
20,RL,9750,Sawyer,5,1962,980,1,1,3,2,400,110000
20,RL,7064,Sawyer,5,1977,980,0,1,3,2,484,135000
20,RL,8499,Sawyer,5,1961,864,1,1,3,2,732,141000
20,RL,9079,Sawyer,5,1961,864,0,1,2,1,440,122000
20,RL,9316,Sawyer,5,1965,1020,0,2,3,1,288,124100
20,RL,7791,Sawyer,5,1963,912,1,1,3,1,300,129000
20,RL,10000,Sawyer,5,1961,1144,1,1,3,1,264,131400
20,RL,8281,Sawyer,5,1965,864,0,1,3,1,360,62383
20,RL,7150,Sawyer,5,1962,912,0,1,3,1,252,123000
20,RL,15676,Veenker,8,1980,2014,1,2,2,3,864,275000
60,RL,11949,NoRidge,7,1991,1755,0,2,3,2,524,235000
160,FV,2880,Somerst,7,2004,3005,0,2,3,3,704,280750
160,FV,3951,Somerst,6,2009,1224,0,2,2,2,528,164500
160,FV,3000,Somerst,6,2009,1224,0,2,2,2,528,173733
120,FV,3830,Somerst,6,2008,1726,0,2,2,2,561,222000
120,FV,4217,Somerst,6,2008,1256,1,1,1,2,641,195000
160,FV,3230,Somerst,6,1999,1471,0,2,3,2,440,172500
160,FV,2998,Somerst,6,2000,1512,1,2,2,2,440,180000
160,FV,3768,Somerst,7,1999,1452,1,2,3,2,506,156000
160,FV,2645,Somerst,8,1999,1739,1,2,3,2,480,172500
20,RL,14694,Veenker,8,1977,1694,1,2,2,2,642,318750
120,RL,3782,Greens,8,1981,1226,1,1,1,2,484,211500
20,RL,15417,Veenker,7,1981,1740,0,1,2,2,540,241600
80,RL,9600,Veenker,8,1976,2499,0,2,4,2,527,180500
20,RL,9991,Sawyer,4,1976,1620,1,2,3,2,490,150000
60,RL,11700,NWAmes,6,1968,1556,0,1,4,2,441,154000
20,RL,11717,NWAmes,6,1970,1442,0,2,2,2,615,185000
20,RL,9156,NWAmes,6,1968,1489,0,2,3,2,462,185750
60,RL,10382,NWAmes,7,1973,2090,1,2,3,2,484,200000
60,RL,12732,NWAmes,7,1974,2067,0,2,3,2,784,206000
60,RL,12936,NWAmes,6,1972,1395,0,1,3,2,497,162000
60,RL,10400,NWAmes,6,1967,2640,0,2,5,2,515,256900
80,RL,17871,NWAmes,6,1967,1724,1,1,3,2,480,197900
20,RL,9600,NWAmes,5,1969,1336,0,2,3,2,502,163000
20,RL,9000,NWAmes,6,1969,1216,1,1,3,1,336,113000
60,RL,13774,NWAmes,7,1977,2288,0,1,4,2,520,230000
20,RL,9650,NWAmes,6,1977,1334,0,2,2,2,630,167900
20,RL,10140,NWAmes,7,1998,1680,1,2,3,2,583,213250
60,RL,8400,NWAmes,8,2001,1665,1,2,3,2,528,227000
20,RL,7130,NAmes,5,1967,864,0,1,2,1,312,130000
20,RL,9600,NAmes,5,1967,1568,0,1,3,2,440,143000
20,RL,9100,NAmes,5,1965,925,0,1,2,1,429,117500
60,RL,9600,NWAmes,7,1974,2061,0,2,4,2,498,168500
85,RL,16500,NWAmes,6,1971,1320,0,2,3,2,495,172500
20,RL,9790,NWAmes,6,1967,1342,0,2,3,2,457,161500
20,RL,7436,NAmes,4,1960,894,1,1,2,2,396,141500
20,RL,8125,NAmes,5,1959,864,0,1,3,1,308,118000
20,RL,9100,NAmes,6,1959,864,0,1,2,1,300,127500
20,RL,9450,NAmes,4,1957,1362,1,1,3,3,768,140000
20,RL,13495,NAmes,5,1956,1728,1,2,3,2,576,177625
90,RL,11475,NAmes,5,1958,1776,1,2,4,3,888,110000
20,RL,10004,NAmes,6,1964,1516,0,1,3,2,472,167000
20,RL,9350,NAmes,5,1961,1313,1,1,3,2,610,153000
20,RL,10500,NAmes,5,1964,1292,1,1,3,2,520,145100
20,RL,11000,NAmes,5,1966,1154,0,1,3,2,480,154000
60,RL,8970,NAmes,5,1965,2140,0,2,4,2,549,177500
80,RL,12095,NAmes,6,1964,1445,0,1,3,2,645,158000
20,RL,9600,NAmes,5,1959,1041,1,1,3,1,270,124500
80,RL,11475,NAmes,6,1961,1576,1,1,4,2,368,174500
20,RL,9768,NAmes,5,1955,960,1,1,2,1,330,122000
30,RL,5330,BrkSide,4,1940,708,0,1,2,0,0,82500
50,RL,7015,BrkSide,5,1950,1203,1,1,3,1,352,110000
20,RL,12160,NAmes,6,1953,1505,1,1,2,2,505,149500
20,RL,9900,NAmes,6,1967,1691,1,1,2,2,550,175000
20,RL,9600,NAmes,6,1953,1644,1,1,3,2,418,167000
20,RL,9600,NAmes,5,1956,1050,0,1,2,1,338,128900
50,RL,9600,NAmes,6,1950,1668,0,1,3,1,271,140000
20,RL,9600,NAmes,5,1950,1113,0,1,3,1,264,147000
90,RL,8944,NAmes,5,1967,1584,0,2,4,3,792,124000
20,RL,10573,NAmes,6,1961,1453,1,2,3,2,530,187500
20,RL,9500,NAmes,6,1963,1394,1,1,3,2,514,159000
20,RL,14695,NAmes,6,1966,1567,1,2,2,2,542,256000
60,RL,13600,NAmes,7,1965,1986,0,2,3,2,486,205000
60,RL,13000,NAmes,6,1968,2142,0,2,4,1,509,193500
20,RL,13560,NAmes,6,1968,1392,1,1,2,2,576,110000
50,RL,12513,NAmes,4,1920,1738,0,2,4,1,368,104900
20,RL,8760,NAmes,5,1956,1144,1,1,3,1,286,150000
20,RL,8400,NAmes,6,1957,1478,1,1,3,2,442,156500
20,RL,12285,NAmes,7,1960,1329,0,1,3,2,441,176000
20,RL,9240,NAmes,6,1959,988,1,2,3,1,297,149500
20,RL,9600,NAmes,6,1958,1632,1,2,3,1,338,139000
20,RL,12400,NAmes,6,1958,1215,0,1,3,1,297,155000
20,RL,8750,NAmes,5,1956,1202,0,1,3,1,304,120000
20,RL,8750,NAmes,5,1955,1382,0,1,3,1,350,153000
20,RL,10400,NAmes,4,1956,1200,1,1,3,1,294,144000
80,RL,19296,NAmes,6,1962,1382,1,1,3,2,884,176000
20,RL,8532,NAmes,5,1954,1297,0,1,3,2,498,153000
90,RL,9482,NAmes,5,1958,1866,0,2,4,2,495,135000
20,RL,8128,NAmes,6,1954,1062,1,1,3,1,297,131000
20,RL,10634,NAmes,5,1953,1319,1,1,3,1,270,123000
20,RL,13070,NAmes,5,1951,1112,0,1,2,2,480,126000
20,RL,10434,NAmes,4,1955,1005,0,1,2,2,672,115000
20,RL,14559,NAmes,5,1951,1363,1,1,2,1,288,164900
30,RL,8480,NAmes,5,1945,793,1,1,2,1,240,113000
20,RL,7626,NAmes,5,1952,1031,1,1,2,1,230,145500
20,RL,9533,NAmes,5,1953,1210,0,1,2,1,616,102900
190,RL,10615,OldTown,3,1900,1699,1,2,3,2,420,95000
60,RL,11419,NAmes,7,1948,1527,1,1,3,2,410,152500
20,RL,9600,NAmes,5,1950,1200,0,1,3,1,246,129900
20,RL,8000,NAmes,6,1948,972,1,1,2,1,240,132000
20,RL,5470,OldTown,3,1958,792,0,1,2,1,366,99900
50,RL,10410,OldTown,5,1916,1656,0,2,3,1,180,135000
60,RL,10800,OldTown,5,1939,1352,0,2,4,2,720,149000
70,RL,8146,OldTown,4,1900,1039,0,1,2,1,281,114000
30,RL,9022,OldTown,5,1924,792,0,1,2,1,240,109500
30,RL,10230,OldTown,5,1925,1078,0,1,3,1,264,125000
50,RL,10410,OldTown,4,1915,2377,0,2,3,2,528,142900
70,RL,7200,OldTown,7,1910,1690,0,2,4,2,624,156500
30,RL,5400,OldTown,2,1940,599,1,1,2,0,0,59000
50,RL,5400,OldTown,4,1920,1374,0,1,2,1,338,105000
30,RL,10800,OldTown,5,1920,846,0,1,2,2,576,106000
30,RL,10800,OldTown,3,1890,725,0,1,1,1,320,78500
90,RL,9671,NAmes,6,1969,2544,0,2,6,3,907,190000
20,RL,10143,NAmes,6,1963,1380,0,1,3,1,364,154000
20,RL,11500,NAmes,6,1967,1040,1,1,3,2,480,163000
90,RL,11643,NAmes,5,1969,2634,1,2,6,4,968,200000
20,RL,8010,NAmes,6,1958,951,1,1,2,2,480,143500
20,RL,10454,NAmes,6,1957,1105,0,1,3,1,308,135000
20,RL,8712,NAmes,5,1957,1306,1,1,2,1,756,153000
20,RL,17600,NAmes,6,1960,1478,1,2,3,2,498,157500
20,RL,9000,NAmes,6,1958,1142,0,1,2,1,384,113500
40,RL,12144,NAmes,5,1949,1268,0,1,3,1,288,133000
90,RL,8544,NAmes,3,1950,1040,0,2,2,2,400,92900
50,RL,8064,NAmes,6,1950,1133,0,1,3,2,900,128500
90,RL,7200,NAmes,4,1949,1040,0,2,2,2,420,90000
50,RL,7200,NAmes,5,1950,1904,1,1,3,1,240,138000
20,RL,7350,NAmes,5,1958,1041,0,1,3,1,294,128000
20,RL,7560,NAmes,5,1958,1339,0,1,3,1,294,139000
20,RL,7200,NAmes,5,1952,732,1,1,2,1,240,118900
80,RL,8000,NAmes,5,1959,1183,1,1,3,1,288,138000
20,RL,7931,NAmes,5,1959,1148,1,1,3,1,672,132500
50,RL,10800,NAmes,4,1949,1461,0,2,4,1,384,133500
50,RL,8064,NAmes,6,1948,1495,0,1,3,2,576,135000
60,RL,7570,NAmes,6,1964,1806,0,1,4,2,483,144750
90,RL,8604,NAmes,5,1978,941,1,1,2,2,564,145000
20,RL,7936,NAmes,6,1963,1045,1,1,3,1,264,127000
20,RL,6600,NAmes,5,1962,894,0,1,2,1,308,109500
50,RM,3950,OldTown,6,1926,1224,0,1,3,1,210,115000
50,RM,10440,OldTown,5,1910,1230,0,1,2,2,440,110000
50,RM,4080,OldTown,6,1935,1378,0,1,3,1,162,128900
90,RM,10307,OldTown,6,1910,1944,1,2,4,2,324,103500
50,RM,5720,OldTown,5,1941,1131,0,1,3,1,200,66500
50,RM,15660,OldTown,5,1910,1306,0,1,3,2,472,130000
70,RM,9900,OldTown,5,1910,1464,0,2,3,0,0,129000
70,RM,6406,OldTown,5,1939,1558,0,1,3,2,400,150000
70,RM,6600,OldTown,5,1892,2372,0,2,4,1,432,107500
190,RM,7627,OldTown,4,1920,1701,0,2,4,0,0,94550
90,RM,7596,OldTown,5,1952,1960,0,2,4,2,400,124500
60,RM,3378,OldTown,7,1946,1389,0,1,3,1,240,135000
50,RM,10134,OldTown,5,1910,1447,0,1,3,0,0,103000
20,RM,6000,OldTown,4,1953,936,0,1,2,2,576,93000
50,RM,6000,OldTown,5,1950,1328,0,1,3,1,308,129500
190,RM,6000,OldTown,5,1954,1387,0,2,3,1,256,93000
30,RM,7404,OldTown,4,1920,861,0,1,2,2,288,80000
30,RM,5925,OldTown,2,1940,612,0,1,1,1,308,45000
50,RM,5925,OldTown,3,1910,968,0,1,2,0,0,37900
30,RM,5784,OldTown,5,1938,886,0,1,2,1,273,91300
30,RM,8520,OldTown,5,1923,792,0,1,2,1,287,99500
190,RM,4456,OldTown,4,1920,1452,0,2,2,0,0,113000
70,RM,9600,OldTown,4,1910,1510,0,2,3,2,720,87500
50,RM,3500,OldTown,5,1947,1284,0,1,2,1,240,110000
75,RM,8100,OldTown,5,1898,2138,0,2,2,2,360,106000
70,RM,11700,OldTown,7,1880,2640,0,1,4,4,864,265979
70,RM,8400,OldTown,6,1900,2007,0,2,3,1,357,160000
70,RM,3600,OldTown,6,1917,1288,1,1,3,1,280,119000
70,RM,17671,OldTown,8,1882,1742,0,1,4,2,424,168000
30,C (all),3300,OldTown,4,1910,816,0,1,2,0,0,58500
70,RM,9000,OldTown,7,1920,1482,0,1,3,2,324,143000
30,RM,7200,OldTown,5,1910,1022,1,1,2,1,280,85000
50,RM,8820,OldTown,5,1890,1869,0,1,2,2,456,124900
50,RM,5400,OldTown,6,1920,1480,0,1,3,1,207,119000
70,RM,9720,OldTown,6,1910,1521,0,1,4,3,640,146500
30,C (all),7879,IDOTRR,4,1920,720,0,1,2,0,0,34900
30,C (all),9392,IDOTRR,3,1900,797,0,1,2,0,0,44000
70,RL,21384,BrkSide,5,1923,1576,2,1,3,2,528,223500
30,RL,6615,BrkSide,6,1923,1432,0,1,3,1,216,149000
50,RL,7264,BrkSide,7,1925,1548,0,2,3,2,672,205000
70,RL,4960,BrkSide,5,1930,1654,0,2,3,1,336,137000
30,RL,8854,BrkSide,6,1916,952,0,1,2,1,192,121000
50,RM,6000,BrkSide,4,1936,1324,0,1,3,1,240,128000
50,RM,6000,BrkSide,6,1937,1176,0,1,2,2,624,134900
50,RM,6000,BrkSide,5,1925,1348,1,1,3,1,216,117000
50,RM,6000,BrkSide,6,1939,1412,0,1,4,1,280,132500
50,RM,6000,BrkSide,5,1924,1142,0,1,3,1,320,93000
45,RM,6000,BrkSide,6,1926,904,0,1,2,1,180,119000
30,RM,6911,BrkSide,5,1924,1301,0,1,2,2,440,100000
50,RM,6120,BrkSide,5,1936,1539,0,1,3,2,576,141500
50,RM,6120,BrkSide,4,1935,1573,0,1,3,1,240,133000
30,RM,6120,BrkSide,2,1936,800,0,1,1,0,0,60000
30,RM,6120,BrkSide,5,1931,875,1,1,2,1,180,105000
30,RM,6120,BrkSide,5,1925,995,0,1,2,1,264,115000
50,RM,6120,BrkSide,5,1938,1582,0,2,3,1,250,150000
30,RM,8635,BrkSide,5,1925,1072,1,1,2,5,1184,126500
75,RL,11888,BrkSide,6,1916,2134,0,2,5,2,441,214500
70,RL,11414,BrkSide,7,1910,2019,0,1,3,2,532,167500
70,RM,8094,OldTown,6,1915,1768,0,2,3,2,576,155000
70,RM,2500,OldTown,7,1915,1826,1,1,4,1,164,155000
70,RM,9928,OldTown,7,1915,1944,0,2,3,1,216,179900
75,RM,5520,OldTown,6,1912,2229,0,1,5,0,0,104000
90,RM,3000,OldTown,5,1922,2128,0,2,4,0,0,62500
70,RM,6876,IDOTRR,6,1927,1930,1,2,4,1,316,149000
30,RM,6240,IDOTRR,4,1925,1208,0,1,2,2,539,103000
70,RM,5775,OldTown,6,1915,1427,0,1,3,1,379,123000
190,RM,5852,OldTown,7,1902,1864,0,2,6,0,0,97500
50,RM,5160,IDOTRR,6,1927,1666,0,1,3,1,384,135000
85,RM,5160,IDOTRR,4,1923,892,1,1,1,0,0,70000
190,RM,10320,IDOTRR,6,1915,1403,1,1,3,1,308,116000
20,RL,4280,Sawyer,4,1946,704,0,1,2,1,220,88750
90,RL,10800,Edwards,5,1987,1200,3,3,3,0,0,179000
90,RL,10800,Edwards,5,1987,1200,3,3,3,0,0,179000
90,RL,10547,Edwards,5,1978,1152,2,2,2,1,252,159900
30,RL,10020,Edwards,1,1922,904,1,0,1,0,0,61000
70,RH,6629,Edwards,6,1925,1369,1,2,3,1,300,103600
50,RL,9780,Edwards,5,1934,1112,1,2,4,1,226,63000
80,RL,12886,Sawyer,5,1963,1464,0,2,3,2,480,175000
20,RL,8816,Sawyer,5,1963,1121,1,1,3,2,480,139000
60,RL,11184,Sawyer,6,1978,1683,0,2,3,2,440,172500
20,RL,11625,Sawyer,5,1967,1052,0,1,3,1,668,113500
20,RL,7800,Sawyer,5,1967,899,0,1,3,1,288,130000
85,RL,8014,Sawyer,6,1978,1034,0,1,3,2,504,149900
85,RL,7252,Sawyer,5,1982,858,1,1,2,2,576,134900
85,RL,8740,Sawyer,5,1982,860,1,1,2,2,528,137000
20,RL,11616,Sawyer,5,1962,1092,0,1,3,1,288,139000
80,RL,15400,Sawyer,5,1961,1774,0,2,4,1,384,165000
80,RL,15312,Sawyer,6,1960,1138,0,1,3,2,480,148000
80,RL,15584,ClearCr,5,1956,2071,0,1,4,1,336,165000
20,RL,9000,Sawyer,2,1947,660,0,1,2,0,0,63900
50,RL,11250,ClearCr,4,1957,1788,1,1,5,1,304,161500
20,RL,25095,ClearCr,5,1968,1473,2,1,1,1,452,143000
20,RL,17140,Edwards,4,1956,1229,0,1,3,1,284,135000
30,RL,12342,Edwards,4,1940,861,0,1,1,2,539,82500
20,RL,10708,ClearCr,5,1955,1867,1,1,2,1,303,190000
20,RL,13680,Edwards,3,1955,1733,0,2,4,2,452,139600
20,RL,15635,Edwards,4,1954,1383,0,1,2,2,498,122000
20,RL,9855,Edwards,6,1956,1689,0,1,3,2,480,127500
20,RL,9571,Edwards,5,1956,1073,1,1,2,1,340,121500
20,RL,9571,Edwards,5,1958,1276,0,1,3,1,350,60000
60,RL,9350,Edwards,6,1946,1639,0,1,3,1,240,154400
30,RL,9340,Edwards,4,1941,672,1,1,2,1,234,113000
20,RL,7440,Edwards,5,1954,1089,1,1,3,1,252,125000
20,RL,11500,Edwards,4,1957,845,0,1,3,1,290,84000
120,RL,4235,Edwards,5,1984,1049,1,2,2,1,266,139500
50,RL,11409,Edwards,5,1949,1716,0,1,3,1,281,131000
50,RL,9060,Edwards,6,1939,1258,0,1,2,1,280,105000
70,RL,9084,Edwards,4,1940,1510,1,1,4,1,296,108000
80,RL,10778,SawyerW,7,1990,1061,1,1,1,2,462,162000
80,RL,19255,SawyerW,6,1983,1338,0,1,2,2,576,156500
50,RL,12327,SawyerW,8,1983,2132,1,1,1,2,612,316600
20,RL,14684,SawyerW,7,1990,2196,0,2,3,3,701,271900
60,RL,9317,SawyerW,7,1993,1775,1,2,3,2,425,213000
